SUBDIVISION,YEAR,MONTH,AVG_RAIN
ANDAMAN & NICOBAR ISLANDS,1983,JAN,22.1
ANDAMAN & NICOBAR ISLANDS,1984,JAN,69.4
ANDAMAN & NICOBAR ISLANDS,1985,JAN,12
ANDAMAN & NICOBAR ISLANDS,1986,JAN,14.8
ANDAMAN & NICOBAR ISLANDS,1987,JAN,72.4
ANDAMAN & NICOBAR ISLANDS,1988,JAN,10.2
ANDAMAN & NICOBAR ISLANDS,1989,JAN,56
ANDAMAN & NICOBAR ISLANDS,1990,JAN,13.4
ANDAMAN & NICOBAR ISLANDS,1991,JAN,14.1
ANDAMAN & NICOBAR ISLANDS,1992,JAN,75.9
ANDAMAN & NICOBAR ISLANDS,1993,JAN,14.9
ANDAMAN & NICOBAR ISLANDS,1994,JAN,7.2
ANDAMAN & NICOBAR ISLANDS,1995,JAN,51.8
ANDAMAN & NICOBAR ISLANDS,1996,JAN,52.2
ANDAMAN & NICOBAR ISLANDS,1997,JAN,9.5
ANDAMAN & NICOBAR ISLANDS,1998,JAN,0.9
ANDAMAN & NICOBAR ISLANDS,1999,JAN,46.8
ANDAMAN & NICOBAR ISLANDS,2000,JAN,53
ANDAMAN & NICOBAR ISLANDS,2001,JAN,89
ANDAMAN & NICOBAR ISLANDS,2002,JAN,10.6
ANDAMAN & NICOBAR ISLANDS,2003,JAN,44.3
ANDAMAN & NICOBAR ISLANDS,2004,JAN,54.5
ANDAMAN & NICOBAR ISLANDS,2005,JAN,0
ANDAMAN & NICOBAR ISLANDS,2006,JAN,16.3
ANDAMAN & NICOBAR ISLANDS,2007,JAN,4.9
ANDAMAN & NICOBAR ISLANDS,2008,JAN,9.9
ANDAMAN & NICOBAR ISLANDS,2009,JAN,24.5
ANDAMAN & NICOBAR ISLANDS,2010,JAN,101.7
ANDAMAN & NICOBAR ISLANDS,2011,JAN,265.9
ANDAMAN & NICOBAR ISLANDS,2012,JAN,119.9
ANDAMAN & NICOBAR ISLANDS,2013,JAN,67.1
ANDAMAN & NICOBAR ISLANDS,2014,JAN,41.9
ANDAMAN & NICOBAR ISLANDS,2015,JAN,126.8
ARUNACHAL PRADESH,1951,JAN,31.8
ARUNACHAL PRADESH,1952,JAN,17.2
ARUNACHAL PRADESH,1953,JAN,56.4
ARUNACHAL PRADESH,1957,JAN,15.57278539
ARUNACHAL PRADESH,1958,JAN,98.4
ARUNACHAL PRADESH,1959,JAN,83.2
ARUNACHAL PRADESH,1960,JAN,8
ARUNACHAL PRADESH,1961,JAN,50
ARUNACHAL PRADESH,1962,JAN,37.2
ARUNACHAL PRADESH,1963,JAN,14.6
ARUNACHAL PRADESH,1964,JAN,55.4
ARUNACHAL PRADESH,1965,JAN,37.4
ARUNACHAL PRADESH,1966,JAN,22.4
ARUNACHAL PRADESH,1967,JAN,13.3
ARUNACHAL PRADESH,1968,JAN,54.2
ARUNACHAL PRADESH,1969,JAN,19.2
ARUNACHAL PRADESH,1970,JAN,49.2
ARUNACHAL PRADESH,1971,JAN,56
ARUNACHAL PRADESH,1972,JAN,39.2
ARUNACHAL PRADESH,1973,JAN,136.4
ARUNACHAL PRADESH,1974,JAN,130.9
ARUNACHAL PRADESH,1975,JAN,17.3
ARUNACHAL PRADESH,1976,JAN,8.9
ARUNACHAL PRADESH,1977,JAN,71.2
ARUNACHAL PRADESH,1978,JAN,37.1
ARUNACHAL PRADESH,1979,JAN,47.4
ARUNACHAL PRADESH,1980,JAN,65.6
ARUNACHAL PRADESH,1981,JAN,93.1
ARUNACHAL PRADESH,1982,JAN,6.4
ARUNACHAL PRADESH,1983,JAN,65.4
ARUNACHAL PRADESH,1984,JAN,98.1
ARUNACHAL PRADESH,1985,JAN,54.1
ARUNACHAL PRADESH,1986,JAN,19.3
ARUNACHAL PRADESH,1987,JAN,3.7
ARUNACHAL PRADESH,1988,JAN,50.9
ARUNACHAL PRADESH,1989,JAN,52.6
ARUNACHAL PRADESH,1990,JAN,54.8
ARUNACHAL PRADESH,1991,JAN,24.9
ARUNACHAL PRADESH,1992,JAN,33.2
ARUNACHAL PRADESH,1993,JAN,95.7
ARUNACHAL PRADESH,1994,JAN,48.2
ARUNACHAL PRADESH,1995,JAN,20.6
ARUNACHAL PRADESH,1996,JAN,35.7
ARUNACHAL PRADESH,1997,JAN,26.2
ARUNACHAL PRADESH,1998,JAN,26.7
ARUNACHAL PRADESH,1999,JAN,7.9
ARUNACHAL PRADESH,2000,JAN,54.1
ARUNACHAL PRADESH,2001,JAN,53.1
ARUNACHAL PRADESH,2002,JAN,74.2
ARUNACHAL PRADESH,2003,JAN,22.9
ARUNACHAL PRADESH,2004,JAN,38
ARUNACHAL PRADESH,2005,JAN,48.4
ARUNACHAL PRADESH,2006,JAN,6
ARUNACHAL PRADESH,2007,JAN,13.4
ARUNACHAL PRADESH,2008,JAN,76.7
ARUNACHAL PRADESH,2009,JAN,18
ARUNACHAL PRADESH,2010,JAN,0.6
ARUNACHAL PRADESH,2011,JAN,40
ARUNACHAL PRADESH,2012,JAN,57.8
ARUNACHAL PRADESH,2013,JAN,18.5
ARUNACHAL PRADESH,2014,JAN,19
ARUNACHAL PRADESH,2015,JAN,30.8
ASSAM & MEGHALAYA,1951,JAN,4.9
ASSAM & MEGHALAYA,1952,JAN,4.4
ASSAM & MEGHALAYA,1953,JAN,18
ASSAM & MEGHALAYA,1954,JAN,22
ASSAM & MEGHALAYA,1955,JAN,9.2
ASSAM & MEGHALAYA,1956,JAN,29.8
ASSAM & MEGHALAYA,1957,JAN,66.9
ASSAM & MEGHALAYA,1958,JAN,18.8
ASSAM & MEGHALAYA,1959,JAN,30.8
ASSAM & MEGHALAYA,1960,JAN,0.1
ASSAM & MEGHALAYA,1961,JAN,11.5
ASSAM & MEGHALAYA,1962,JAN,24.9
ASSAM & MEGHALAYA,1963,JAN,3.3
ASSAM & MEGHALAYA,1964,JAN,9.6
ASSAM & MEGHALAYA,1965,JAN,5.1
ASSAM & MEGHALAYA,1966,JAN,20
ASSAM & MEGHALAYA,1967,JAN,11.4
ASSAM & MEGHALAYA,1968,JAN,22.9
ASSAM & MEGHALAYA,1969,JAN,27.4
ASSAM & MEGHALAYA,1970,JAN,47
ASSAM & MEGHALAYA,1971,JAN,36.9
ASSAM & MEGHALAYA,1972,JAN,18
ASSAM & MEGHALAYA,1973,JAN,9.8
ASSAM & MEGHALAYA,1974,JAN,31.6
ASSAM & MEGHALAYA,1975,JAN,10
ASSAM & MEGHALAYA,1976,JAN,5.7
ASSAM & MEGHALAYA,1977,JAN,9.1
ASSAM & MEGHALAYA,1978,JAN,5
ASSAM & MEGHALAYA,1979,JAN,3.3
ASSAM & MEGHALAYA,1980,JAN,13.1
ASSAM & MEGHALAYA,1981,JAN,29.6
ASSAM & MEGHALAYA,1982,JAN,1.8
ASSAM & MEGHALAYA,1983,JAN,16.4
ASSAM & MEGHALAYA,1984,JAN,22.4
ASSAM & MEGHALAYA,1985,JAN,8.7
ASSAM & MEGHALAYA,1986,JAN,16.4
ASSAM & MEGHALAYA,1987,JAN,8.8
ASSAM & MEGHALAYA,1988,JAN,7.3
ASSAM & MEGHALAYA,1989,JAN,10.5
ASSAM & MEGHALAYA,1990,JAN,19.2
ASSAM & MEGHALAYA,1991,JAN,13.7
ASSAM & MEGHALAYA,1992,JAN,14.7
ASSAM & MEGHALAYA,1993,JAN,73.3
ASSAM & MEGHALAYA,1994,JAN,26.6
ASSAM & MEGHALAYA,1995,JAN,8.7
ASSAM & MEGHALAYA,1996,JAN,12.8
ASSAM & MEGHALAYA,1997,JAN,18.2
ASSAM & MEGHALAYA,1998,JAN,11.8
ASSAM & MEGHALAYA,1999,JAN,2.4
ASSAM & MEGHALAYA,2000,JAN,20.5
ASSAM & MEGHALAYA,2001,JAN,5.5
ASSAM & MEGHALAYA,2002,JAN,20.2
ASSAM & MEGHALAYA,2003,JAN,9.5
ASSAM & MEGHALAYA,2004,JAN,15.3
ASSAM & MEGHALAYA,2005,JAN,22.8
ASSAM & MEGHALAYA,2006,JAN,0.7
ASSAM & MEGHALAYA,2007,JAN,1.5
ASSAM & MEGHALAYA,2008,JAN,29.7
ASSAM & MEGHALAYA,2009,JAN,7.9
ASSAM & MEGHALAYA,2010,JAN,0.5
ASSAM & MEGHALAYA,2011,JAN,11.1
ASSAM & MEGHALAYA,2012,JAN,15.2
ASSAM & MEGHALAYA,2013,JAN,1.1
ASSAM & MEGHALAYA,2014,JAN,2
ASSAM & MEGHALAYA,2015,JAN,13.4
NAGA MANI MIZO TRIPURA,1951,JAN,3.9
NAGA MANI MIZO TRIPURA,1952,JAN,9.6
NAGA MANI MIZO TRIPURA,1953,JAN,7.4
NAGA MANI MIZO TRIPURA,1954,JAN,12.8
NAGA MANI MIZO TRIPURA,1955,JAN,6.2
NAGA MANI MIZO TRIPURA,1956,JAN,18.3
NAGA MANI MIZO TRIPURA,1957,JAN,59.1
NAGA MANI MIZO TRIPURA,1958,JAN,6.2
NAGA MANI MIZO TRIPURA,1959,JAN,39.9
NAGA MANI MIZO TRIPURA,1960,JAN,0
NAGA MANI MIZO TRIPURA,1961,JAN,9.5
NAGA MANI MIZO TRIPURA,1962,JAN,11.2
NAGA MANI MIZO TRIPURA,1963,JAN,0
NAGA MANI MIZO TRIPURA,1964,JAN,4
NAGA MANI MIZO TRIPURA,1965,JAN,1.9
NAGA MANI MIZO TRIPURA,1966,JAN,15
NAGA MANI MIZO TRIPURA,1967,JAN,51.5
NAGA MANI MIZO TRIPURA,1968,JAN,17.3
NAGA MANI MIZO TRIPURA,1969,JAN,20.1
NAGA MANI MIZO TRIPURA,1970,JAN,45.8
NAGA MANI MIZO TRIPURA,1971,JAN,28.4
NAGA MANI MIZO TRIPURA,1972,JAN,4.5
NAGA MANI MIZO TRIPURA,1973,JAN,16.8
NAGA MANI MIZO TRIPURA,1974,JAN,8.9
NAGA MANI MIZO TRIPURA,1975,JAN,1.2
NAGA MANI MIZO TRIPURA,1976,JAN,3.3
NAGA MANI MIZO TRIPURA,1977,JAN,14.2
NAGA MANI MIZO TRIPURA,1978,JAN,0.7
NAGA MANI MIZO TRIPURA,1979,JAN,1.3
NAGA MANI MIZO TRIPURA,1980,JAN,7.2
NAGA MANI MIZO TRIPURA,1981,JAN,26.6
NAGA MANI MIZO TRIPURA,1982,JAN,0.1
NAGA MANI MIZO TRIPURA,1983,JAN,19.2
NAGA MANI MIZO TRIPURA,1984,JAN,17.4
NAGA MANI MIZO TRIPURA,1985,JAN,6.4
NAGA MANI MIZO TRIPURA,1986,JAN,8.8
NAGA MANI MIZO TRIPURA,1987,JAN,7.7
NAGA MANI MIZO TRIPURA,1988,JAN,0.4
NAGA MANI MIZO TRIPURA,1989,JAN,0.7
NAGA MANI MIZO TRIPURA,1990,JAN,0.2
NAGA MANI MIZO TRIPURA,1991,JAN,27.5
NAGA MANI MIZO TRIPURA,1992,JAN,4.4
NAGA MANI MIZO TRIPURA,1993,JAN,11.1
NAGA MANI MIZO TRIPURA,1994,JAN,9.5
NAGA MANI MIZO TRIPURA,1995,JAN,5.4
NAGA MANI MIZO TRIPURA,1996,JAN,8.1
NAGA MANI MIZO TRIPURA,1997,JAN,11.3
NAGA MANI MIZO TRIPURA,1998,JAN,28.1
NAGA MANI MIZO TRIPURA,1999,JAN,2.2
NAGA MANI MIZO TRIPURA,2000,JAN,22.5
NAGA MANI MIZO TRIPURA,2001,JAN,1.5
NAGA MANI MIZO TRIPURA,2002,JAN,18.6
NAGA MANI MIZO TRIPURA,2003,JAN,3.8
NAGA MANI MIZO TRIPURA,2004,JAN,4.8
NAGA MANI MIZO TRIPURA,2005,JAN,6.4
NAGA MANI MIZO TRIPURA,2006,JAN,0.6
NAGA MANI MIZO TRIPURA,2007,JAN,7.9
NAGA MANI MIZO TRIPURA,2008,JAN,30.7
NAGA MANI MIZO TRIPURA,2009,JAN,0
NAGA MANI MIZO TRIPURA,2010,JAN,1
NAGA MANI MIZO TRIPURA,2011,JAN,12.6
NAGA MANI MIZO TRIPURA,2012,JAN,24.5
NAGA MANI MIZO TRIPURA,2013,JAN,0.2
NAGA MANI MIZO TRIPURA,2014,JAN,1.2
NAGA MANI MIZO TRIPURA,2015,JAN,14.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1951,JAN,1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1952,JAN,1.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1953,JAN,28.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1954,JAN,15.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1955,JAN,4.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1956,JAN,14.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1957,JAN,103
SUB HIMALAYAN WEST BENGAL & SIKKIM,1958,JAN,8.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1959,JAN,99.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1960,JAN,0.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1961,JAN,11.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1962,JAN,33
SUB HIMALAYAN WEST BENGAL & SIKKIM,1963,JAN,2.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1964,JAN,0
SUB HIMALAYAN WEST BENGAL & SIKKIM,1965,JAN,0.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1966,JAN,29.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1967,JAN,2.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1968,JAN,26.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1969,JAN,11.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1970,JAN,18
SUB HIMALAYAN WEST BENGAL & SIKKIM,1971,JAN,28.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1972,JAN,9.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1973,JAN,13.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1974,JAN,19.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1975,JAN,20.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1976,JAN,8.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1977,JAN,6.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1978,JAN,14.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1979,JAN,8.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1980,JAN,11.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1981,JAN,48.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1982,JAN,0.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1983,JAN,26.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1984,JAN,29.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1985,JAN,2.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1986,JAN,1.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1987,JAN,2.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1988,JAN,6.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1989,JAN,21
SUB HIMALAYAN WEST BENGAL & SIKKIM,1990,JAN,3.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1991,JAN,41.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1992,JAN,10
SUB HIMALAYAN WEST BENGAL & SIKKIM,1993,JAN,37.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1994,JAN,49.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1995,JAN,17.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1996,JAN,30.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1997,JAN,18.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1998,JAN,13.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1999,JAN,8.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2000,JAN,10.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2001,JAN,4
SUB HIMALAYAN WEST BENGAL & SIKKIM,2002,JAN,30.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,2003,JAN,17
SUB HIMALAYAN WEST BENGAL & SIKKIM,2004,JAN,19.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,2005,JAN,19.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,2006,JAN,0.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,2007,JAN,3.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,2008,JAN,33.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,2009,JAN,6
SUB HIMALAYAN WEST BENGAL & SIKKIM,2010,JAN,5.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,2011,JAN,8.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,2012,JAN,15.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2013,JAN,3
SUB HIMALAYAN WEST BENGAL & SIKKIM,2014,JAN,0.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,2015,JAN,15.7
GANGETIC WEST BENGAL,1951,JAN,0
GANGETIC WEST BENGAL,1952,JAN,0.3
GANGETIC WEST BENGAL,1953,JAN,25.8
GANGETIC WEST BENGAL,1954,JAN,12.3
GANGETIC WEST BENGAL,1955,JAN,2.9
GANGETIC WEST BENGAL,1956,JAN,4.5
GANGETIC WEST BENGAL,1957,JAN,50.2
GANGETIC WEST BENGAL,1958,JAN,12.7
GANGETIC WEST BENGAL,1959,JAN,33.5
GANGETIC WEST BENGAL,1960,JAN,0.6
GANGETIC WEST BENGAL,1961,JAN,11.1
GANGETIC WEST BENGAL,1962,JAN,8.8
GANGETIC WEST BENGAL,1963,JAN,0.4
GANGETIC WEST BENGAL,1964,JAN,2.7
GANGETIC WEST BENGAL,1965,JAN,0.3
GANGETIC WEST BENGAL,1966,JAN,33.1
GANGETIC WEST BENGAL,1967,JAN,52.5
GANGETIC WEST BENGAL,1968,JAN,5.7
GANGETIC WEST BENGAL,1969,JAN,4.7
GANGETIC WEST BENGAL,1970,JAN,10.8
GANGETIC WEST BENGAL,1971,JAN,30.6
GANGETIC WEST BENGAL,1972,JAN,2.8
GANGETIC WEST BENGAL,1973,JAN,1.3
GANGETIC WEST BENGAL,1974,JAN,3.6
GANGETIC WEST BENGAL,1975,JAN,9.9
GANGETIC WEST BENGAL,1976,JAN,0
GANGETIC WEST BENGAL,1977,JAN,11.7
GANGETIC WEST BENGAL,1978,JAN,1.4
GANGETIC WEST BENGAL,1979,JAN,16
GANGETIC WEST BENGAL,1980,JAN,15.5
GANGETIC WEST BENGAL,1981,JAN,13.7
GANGETIC WEST BENGAL,1982,JAN,2.4
GANGETIC WEST BENGAL,1983,JAN,9.1
GANGETIC WEST BENGAL,1984,JAN,19.1
GANGETIC WEST BENGAL,1985,JAN,10.9
GANGETIC WEST BENGAL,1986,JAN,9.6
GANGETIC WEST BENGAL,1987,JAN,1.8
GANGETIC WEST BENGAL,1988,JAN,1.7
GANGETIC WEST BENGAL,1989,JAN,0.4
GANGETIC WEST BENGAL,1990,JAN,2.2
GANGETIC WEST BENGAL,1991,JAN,27.8
GANGETIC WEST BENGAL,1992,JAN,14
GANGETIC WEST BENGAL,1993,JAN,0.3
GANGETIC WEST BENGAL,1994,JAN,23.8
GANGETIC WEST BENGAL,1995,JAN,20.2
GANGETIC WEST BENGAL,1996,JAN,11
GANGETIC WEST BENGAL,1997,JAN,18.7
GANGETIC WEST BENGAL,1998,JAN,52.9
GANGETIC WEST BENGAL,1999,JAN,0.1
GANGETIC WEST BENGAL,2000,JAN,9.5
GANGETIC WEST BENGAL,2001,JAN,0.3
GANGETIC WEST BENGAL,2002,JAN,26.3
GANGETIC WEST BENGAL,2003,JAN,0.5
GANGETIC WEST BENGAL,2004,JAN,3.3
GANGETIC WEST BENGAL,2005,JAN,26.8
GANGETIC WEST BENGAL,2006,JAN,0.8
GANGETIC WEST BENGAL,2007,JAN,3.9
GANGETIC WEST BENGAL,2008,JAN,49.4
GANGETIC WEST BENGAL,2009,JAN,2.4
GANGETIC WEST BENGAL,2010,JAN,0.2
GANGETIC WEST BENGAL,2011,JAN,2.5
GANGETIC WEST BENGAL,2012,JAN,40.7
GANGETIC WEST BENGAL,2013,JAN,2.5
GANGETIC WEST BENGAL,2014,JAN,0.9
GANGETIC WEST BENGAL,2015,JAN,12.9
ORISSA,1951,JAN,2.2
ORISSA,1952,JAN,0.3
ORISSA,1953,JAN,39.9
ORISSA,1954,JAN,0.6
ORISSA,1955,JAN,0.1
ORISSA,1956,JAN,1.4
ORISSA,1957,JAN,12.3
ORISSA,1958,JAN,11.5
ORISSA,1959,JAN,28.5
ORISSA,1960,JAN,5.4
ORISSA,1961,JAN,15.9
ORISSA,1962,JAN,8.3
ORISSA,1963,JAN,0.2
ORISSA,1964,JAN,1.7
ORISSA,1965,JAN,10.6
ORISSA,1966,JAN,49.9
ORISSA,1967,JAN,70.9
ORISSA,1968,JAN,33.4
ORISSA,1969,JAN,0.7
ORISSA,1970,JAN,4.6
ORISSA,1971,JAN,16.1
ORISSA,1972,JAN,0
ORISSA,1973,JAN,1.7
ORISSA,1974,JAN,0
ORISSA,1975,JAN,1.8
ORISSA,1976,JAN,0
ORISSA,1977,JAN,4.9
ORISSA,1978,JAN,4
ORISSA,1979,JAN,6.7
ORISSA,1980,JAN,10.8
ORISSA,1981,JAN,25.8
ORISSA,1982,JAN,5.5
ORISSA,1983,JAN,1.9
ORISSA,1984,JAN,9.3
ORISSA,1985,JAN,24.2
ORISSA,1986,JAN,25.8
ORISSA,1987,JAN,10.6
ORISSA,1988,JAN,0.1
ORISSA,1989,JAN,0
ORISSA,1990,JAN,0.4
ORISSA,1991,JAN,20
ORISSA,1992,JAN,6.1
ORISSA,1993,JAN,0
ORISSA,1994,JAN,4.1
ORISSA,1995,JAN,50.1
ORISSA,1996,JAN,14.6
ORISSA,1997,JAN,17.9
ORISSA,1998,JAN,31.5
ORISSA,1999,JAN,0.1
ORISSA,2000,JAN,0.9
ORISSA,2001,JAN,0.4
ORISSA,2002,JAN,11.7
ORISSA,2003,JAN,0.1
ORISSA,2004,JAN,6.8
ORISSA,2005,JAN,29.4
ORISSA,2006,JAN,0.2
ORISSA,2007,JAN,0.7
ORISSA,2008,JAN,27.5
ORISSA,2009,JAN,1.9
ORISSA,2010,JAN,8.8
ORISSA,2011,JAN,3.7
ORISSA,2012,JAN,50.8
ORISSA,2013,JAN,3.3
ORISSA,2014,JAN,0
ORISSA,2015,JAN,15.1
JHARKHAND,1951,JAN,5.1
JHARKHAND,1952,JAN,3.9
JHARKHAND,1953,JAN,35.3
JHARKHAND,1954,JAN,12.4
JHARKHAND,1955,JAN,43.6
JHARKHAND,1956,JAN,13.9
JHARKHAND,1957,JAN,56.3
JHARKHAND,1958,JAN,11.5
JHARKHAND,1959,JAN,51.6
JHARKHAND,1960,JAN,6.6
JHARKHAND,1961,JAN,8.9
JHARKHAND,1962,JAN,8.2
JHARKHAND,1963,JAN,2.8
JHARKHAND,1964,JAN,2.2
JHARKHAND,1965,JAN,0.8
JHARKHAND,1966,JAN,24.7
JHARKHAND,1967,JAN,8.6
JHARKHAND,1968,JAN,34.4
JHARKHAND,1969,JAN,6.2
JHARKHAND,1970,JAN,24.3
JHARKHAND,1971,JAN,43.4
JHARKHAND,1972,JAN,8.6
JHARKHAND,1973,JAN,10.6
JHARKHAND,1974,JAN,2.6
JHARKHAND,1975,JAN,17.2
JHARKHAND,1976,JAN,0
JHARKHAND,1977,JAN,19.2
JHARKHAND,1978,JAN,10.5
JHARKHAND,1979,JAN,22.4
JHARKHAND,1980,JAN,13.6
JHARKHAND,1981,JAN,40.7
JHARKHAND,1982,JAN,8.4
JHARKHAND,1983,JAN,4.3
JHARKHAND,1984,JAN,33.4
JHARKHAND,1985,JAN,19.1
JHARKHAND,1986,JAN,6.9
JHARKHAND,1987,JAN,5.9
JHARKHAND,1988,JAN,3.1
JHARKHAND,1989,JAN,1.9
JHARKHAND,1990,JAN,0.8
JHARKHAND,1991,JAN,19.3
JHARKHAND,1992,JAN,2.3
JHARKHAND,1993,JAN,1.7
JHARKHAND,1994,JAN,17.7
JHARKHAND,1995,JAN,13.7
JHARKHAND,1996,JAN,17.1
JHARKHAND,1997,JAN,9.5
JHARKHAND,1998,JAN,76.3
JHARKHAND,1999,JAN,0.6
JHARKHAND,2000,JAN,3.6
JHARKHAND,2001,JAN,1.9
JHARKHAND,2002,JAN,9
JHARKHAND,2003,JAN,3.3
JHARKHAND,2004,JAN,5.5
JHARKHAND,2005,JAN,22.1
JHARKHAND,2006,JAN,0.3
JHARKHAND,2007,JAN,1.7
JHARKHAND,2008,JAN,19.4
JHARKHAND,2009,JAN,1.8
JHARKHAND,2010,JAN,0.2
JHARKHAND,2011,JAN,3.3
JHARKHAND,2012,JAN,34.6
JHARKHAND,2013,JAN,1.1
JHARKHAND,2014,JAN,9.9
JHARKHAND,2015,JAN,12.2
BIHAR,1951,JAN,7.3
BIHAR,1952,JAN,1.1
BIHAR,1953,JAN,29.7
BIHAR,1954,JAN,12.5
BIHAR,1955,JAN,20
BIHAR,1956,JAN,19.3
BIHAR,1957,JAN,75.2
BIHAR,1958,JAN,16
BIHAR,1959,JAN,81.2
BIHAR,1960,JAN,1.4
BIHAR,1961,JAN,11.7
BIHAR,1962,JAN,13
BIHAR,1963,JAN,3.4
BIHAR,1964,JAN,1.4
BIHAR,1965,JAN,0.4
BIHAR,1966,JAN,21.2
BIHAR,1967,JAN,0.2
BIHAR,1968,JAN,29.1
BIHAR,1969,JAN,5.2
BIHAR,1970,JAN,22.1
